Symbol,Date,Open,High,Low,Close,Volume,IDEX SMA,IDEX spanTwelveEMA,IDEX spanTwntySixEMA,IDEX MACD,IDEX MACD_Signal
IDEX,2020-07-14,1.28,1.28,1.22,1.23,2165158,1.23,1.23,1.23,0.0,0.0
IDEX,2020-07-13,1.36,1.39,1.32,1.35,2740127,1.35,1.2484615384615383,1.2388888888888892,0.00957264957264936,0.0019145299145298719
IDEX,2020-07-10,1.38,1.39,1.32,1.37,2468057,1.37,1.2671597633136094,1.2486008230452676,0.018558940268341702,0.005243411985292238
IDEX,2020-07-09,1.5,1.56,1.43,1.56,5326628,1.56,1.312212107419208,1.2716674287456182,0.040544678673589685,0.012303665322951728
IDEX,2020-07-08,1.27,1.28,1.22,1.24,2562437,1.2399999999999998,1.3011025524316375,1.2693216932829798,0.031780859148657685,0.01619910408809292
IDEX,2020-07-07,1.345,1.37,1.27,1.285,3998227,1.2849999999999997,1.298625236672924,1.2704830493360926,0.02814218733683149,0.018587720737840638
IDEX,2020-07-06,1.51,1.52,1.38,1.4659,6592428,1.4658999999999998,1.3243598156463203,1.2849583790149004,0.03940143663141993,0.022750463916556496
IDEX,2020-07-06,1.51,1.52,1.38,1.4659,6592428,1.4659,1.3461352286238095,1.2983614620508337,0.04777376657297583,0.02775512444784036
IDEX,2020-07-02,1.67,1.69,1.56,1.615,7404630,1.6149999999999998,1.387499039604762,1.3218161685655867,0.06568287103917525,0.03534067376610734
IDEX,2020-07-01,1.75,1.89,1.61,1.7002,10736529,1.7002,1.435606879665568,1.3498446005236913,0.08576227914187662,0.045424994841261196
IDEX,2020-06-30,2.18,2.48,2.07,2.315,22286430,2.3150000000000004,1.570898128947788,1.421337593077492,0.14956053587029627,0.06625210304706822
IDEX,2020-06-29,1.78,1.99,1.65,1.84,19683930,1.8400000000000003,1.6122984168019747,1.4523496232198998,0.1599487935820747,0.08499144115406951
IDEX,2020-06-26,1.95,2.0,1.58,1.715,22390269,1.7150000000000003,1.6280986603709016,1.4718052066850926,0.15629345368580894,0.0992518436604174
IDEX,2020-06-25,2.95,2.95,2.62,2.75,13855529,2.7500000000000013,1.800698866467686,1.5664863024861968,0.23421256398148915,0.12624398772463175
IDEX,2020-06-24,2.8,2.83,2.56,2.6401,10304583,2.6401000000000003,1.9298375023957344,1.6460132430427747,0.28382425935295963,0.15776004205029734
IDEX,2020-06-23,3.07,3.24,2.85,2.9801,20903444,2.9801000000000006,2.0914163481810055,1.7448344842988657,0.3465818638821405,0.195524406416666
IDEX,2020-06-22,2.81,3.2,2.6,3.14,34451834,3.140000000000001,2.252736909999313,1.8481800780545048,0.4045568319448076,0.2373308915222943
IDEX,2020-06-19,2.27,2.27,2.05,2.1,9928597,2.1,2.2292389238455725,1.8668334056060232,0.36240551823954936,0.2623458168657453
IDEX,2020-06-18,2.16,2.56,2.13,2.39,29294093,2.39,2.2539713971001003,1.905586486672244,0.348384910427856,0.2795536355781675
IDEX,2020-06-17,1.25,1.27,1.19,1.2201,2807555,1.2201,2.0949142590847,1.8548097098817071,0.2401045492029925,0.27166381830313246
IDEX,2020-06-16,1.17,1.18,1.12,1.145,2578705,1.145,1.9487736038409,1.8022312128534328,0.14654239098746702,0.2466395328399994
IDEX,2020-06-15,1.15,1.16,1.08,1.1,3039287,1.1,1.8181930494038383,1.7502140859754003,0.06797896342843758,0.21090741895768705
IDEX,2020-06-12,1.19,1.19,1.1,1.1462,3021849,1.1462,1.7148095033417092,1.7054723018290745,0.00933720151263473,0.1705933754686766
IDEX,2020-06-11,1.1,1.15,1.06,1.11,4338824,1.1099999999999997,1.6217618874429849,1.6613632424343283,-0.03960135499134365,0.12855442937667255
IDEX,2020-06-10,1.15,1.17,1.06,1.13,7769219,1.1299999999999992,1.5461062124517562,1.6220030022540075,-0.07589678980225134,0.08766418554088778
IDEX,2020-06-09,1.02,1.1,0.8413,0.88771,13106741,0.8877099999999993,1.4448144874591782,1.5676109280129702,-0.1227964405537918,0.045572060321951866
IDEX,2020-06-08,0.6646,0.7595,0.63,0.68,6278490,0.6799999999999995,1.327150720157766,1.5018619703823797,-0.17471125022461353,0.0015153982126387897
IDEX,2020-06-05,0.4002,0.47,0.3819,0.4475,6148494,0.44749999999999945,1.1918198401334943,1.4237610836873886,-0.23194124355389434,-0.04517593014066784
IDEX,2020-06-04,0.381,0.3862,0.3725,0.3751,835085,0.3750999999999993,1.0661706339591104,1.3460824848957302,-0.27991185093661985,-0.09212311429985826
IDEX,2020-06-03,0.3978,0.3978,0.3749,0.3751,339874,0.3750999999999993,0.9598520748884781,1.2741578563849354,-0.3143057814964574,-0.13655964773917809
IDEX,2020-06-02,0.3951,0.4,0.3815,0.38723,270548,0.3872299999999995,0.8717563710594814,1.208459496652718,-0.33670312559323656,-0.1765883433099898
IDEX,2020-06-01,0.38,0.3897,0.375,0.379,394613,0.3789999999999995,0.7959476985887919,1.1470180524562203,-0.35107035386742835,-0.2114847454214775
